"","name","brewery","rating","style"
"158","Double Dry Hopped Melcher Street","Trillium Brewing Company",98,"American IPA"
"159","Society &amp; Solitude #6","Hill Farmstead Brewery",98,"American Double / Imperial IPA"
"16","Triple Sunshine IPA","Lawson's Finest Liquids",100,"American Double / Imperial IPA"
"160","Double Stack","Great Notion Brewing",98,"American Double / Imperial Stout"
"161","Drie Fonteinen Framboos","Brouwerij 3 Fonteinen",98,"Lambic - Fruit"
"162","Double Dry Hopped Sleeper Street","Trillium Brewing Company",98,"American IPA"
"163","Genealogy Of Morals (Bourbon Barrel Aged)","Hill Farmstead Brewery",98,"American Double / Imperial Stout"
"164","Last Snow","Funky Buddha Brewery",98,"American Porter"
"165","Trademark Dispute: Pallet 1","Peg's Cantina &amp; Brew Pub",98,"American Double / Imperial Stout"
"166","Life Is Like...","Cigar City Brewing",98,"Milk / Sweet Stout"
"167","Mosaic IPA","Other Half Brewing Co.",98,"American IPA"
"168","Dialed In (w/ Sauvignon Blanc Juice)","Trillium Brewing Company",98,"American Double / Imperial IPA"
"169","Hopslam Ale","Bell's Brewery, Inc.",98,"American Double / Imperial IPA"
"17","Fundamental Observation","Bottle Logic Brewing",100,"American Double / Imperial Stout"
"170","Prairie Barrel Aged Bomb! (Fred's Blend)","Prairie Artisan Ales",98,"American Double / Imperial Stout"
"171","Hop JuJu Imperial IPA","Fat Head's Brewery &amp; Saloon",98,"American Double / Imperial IPA"
"172","Double Dry Hopped All Citra Everything","Other Half Brewing Co.",98,"American Double / Imperial IPA"
"173","Maman","Perennial Artisan Ales",98,"American Double / Imperial Stout"
"174","Cutting Tiles (Galaxy)","Trillium Brewing Company",98,"American Double / Imperial IPA"
"175","Second Fiddle","Fiddlehead Brewing Company",98,"American Double / Imperial IPA"
"176","AleSmith Speedway Stout - Vietnamese Coffee","AleSmith Brewing Company",98,"American Double / Imperial Stout"
"177","Lumen","Grimm Artisanal Ales",98,"American IPA"
"178","Sure Bet","Pipeworks Brewing Company",98,"American Double / Imperial IPA"
"179","Columbus Bodhi","Columbus Brewing Company",98,"American Double / Imperial IPA"
"18","Founders CBS (Canadian Breakfast Stout)","Founders Brewing Company",100,"American Double / Imperial Stout"
"180","Rodenbach Caractère Rouge","Brouwerij Rodenbach N.V.",98,"Flanders Red Ale"
"181","Chocolate Rain","The Bruery",98,"American Double / Imperial Stout"
"182","Oude Fermier","Side Project Brewing",98,"Saison / Farmhouse Ale"
"183","Madagascar","4 Hands Brewing Co.",98,"Milk / Sweet Stout"
"184","Orange Starfish","Aslin Beer Company",98,"American IPA"
"185","Space Trace","Bottle Logic Brewing",98,"American Double / Imperial Stout"
"186","St. Bernardus Abt 12","Brouwerij St. Bernardus NV",98,"Quadrupel (Quad)"
"187","Damon (Bourbon Barrel Aged)","Hill Farmstead Brewery",98,"Russian Imperial Stout"
"188","Cantillon Lou Pepe - Framboise","Brasserie Cantillon",98,"Lambic - Fruit"
"189","Cantillon Saint Lamvinus","Brasserie Cantillon",98,"Lambic - Fruit"
"19","AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)","AleSmith Brewing Company",100,"American Double / Imperial Stout"
"190","Leche Borracho","Bottle Logic Brewing",98,"American Double / Imperial Stout"
"191","Imperial Eclipse Stout - Elijah Craig (12 Year)","FiftyFifty Brewing Co.",98,"American Double / Imperial Stout"
"192","No Rules","Perrin Brewery",98,"American Porter"
"193","Dragonsaddle","Hoof Hearted Brewing",98,"American Double / Imperial IPA"
"194","Darkness","Surly Brewing Company",98,"Russian Imperial Stout"
"195","3 Floyds / The Bruery Rue D'Floyd","3 Floyds Brewing Co.",98,"American Porter"
"196","Locust Reign","New England Brewing Co.",98,"American Double / Imperial IPA"
"197","Sante Adairius / Triple Rock Cellarman Barrel Aged Saison","Sante Adairius Rustic Ales",98,"Saison / Farmhouse Ale"
"198","Oro Negro","Jackie O's Pub &amp; Brewery",98,"American Double / Imperial Stout"
"199","Scaled Up","Trillium Brewing Company",98,"American Double / Imperial IPA"
"2","Good Morning","Tree House Brewing Company",100,"American Double / Imperial Stout"
